ri,ro,t,f,z,mass,time
79.0,92.0,1.5,1000.0,2.0,0.24512999245944686,16.23979273772233
80.0,104.0,1.5,990.0,9.0,1.6231729595155455,3.468089874858355
79.0,103.0,1.5,1000.0,9.0,1.6055297751729853,3.4706873162349
80.0,103.0,1.5,990.0,9.0,1.5470867270382542,3.4883003921289424
79.0,102.0,1.5,1000.0,9.0,1.5301786753766342,3.491149474281376
80.0,102.0,1.5,990.0,9.0,1.4717356272419033,3.5086948076873963
80.0,101.0,1.5,990.0,9.0,1.3971196601264921,3.5292745462463526
79.0,100.0,1.5,1000.0,9.0,1.3816818738267518,3.53264113607816
80.0,100.0,1.5,990.0,9.0,1.323238825692021,3.5500410081245604
80.0,98.0,1.5,990.0,9.0,1.1776825548658987,3.5921395655285595
79.0,97.0,1.5,1000.0,9.0,1.1644501666089784,3.5963189491474963
80.0,91.0,1.5,990.0,3.0,0.27655691456963233,11.063988912978518
79.0,90.0,1.5,1000.0,3.0,0.2733223307734963,11.082181025562864
80.0,97.0,1.5,990.0,9.0,1.1060071184742473,3.6134743157714206
79.0,96.0,1.5,1000.0,9.0,1.0935098628982673,3.6179346249236346
79.0,91.0,1.5,1000.0,3.0,0.29993413382352474,11.015815111480345
80.0,96.0,1.5,990.0,9.0,1.0350668147635362,3.635001092838841
79.0,95.0,1.5,1000.0,9.0,1.023304691868496,3.639747426800116
80.0,95.0,1.5,990.0,9.0,0.9648616437337652,3.6567211333265317
80.0,94.0,1.5,990.0,9.0,0.895391605384934,3.6786356315853563
80.0,93.0,1.5,990.0,9.0,0.826656699717043,3.700745736132248
79.0,92.0,1.5,1000.0,9.0,0.817099974864823,3.706381325642763
80.0,92.0,1.5,990.0,9.0,0.7586569267300921,3.723052545861946
79.0,90.0,1.5,1000.0,9.0,0.6833058269337408,3.7518120715280507
79.0,90.0,1.5,1000.0,8.0,0.6149752442403666,4.216668454608577
79.0,90.0,1.5,1000.0,6.0,0.47831407885361854,5.605808264629671
79.0,90.0,1.5,1000.0,5.0,0.40998349616024443,6.711292866789808
80.0,92.0,1.5,990.0,2.0,0.2275970780190276,16.310908232568003
80.0,91.0,1.5,990.0,9.0,0.6913922864240809,3.745557106049744
79.0,91.0,1.5,1000.0,9.0,0.7498353345588118,3.7289951341682235
79.0,93.0,1.5,1000.0,9.0,0.8850997478517739,3.6839695488121635
79.0,94.0,1.5,1000.0,9.0,0.9538346535196649,3.6617586507157447
79.0,98.0,1.5,1000.0,9.0,1.2361256030006296,3.574899063323682
80.0,99.0,1.5,990.0,9.0,1.2500931239384896,3.5709955666690165
79.0,99.0,1.5,1000.0,9.0,1.3085361720732205,3.553673594489515
79.0,101.0,1.5,1000.0,9.0,1.455562708261223,3.5118002509539976
79.0,104.0,1.5,1000.0,9.0,1.6816160076502764,3.450412264559029
79.0,90.0,1.5,1000.0,7.0,0.5466446615469926,4.813009090823509
79.0,90.0,1.5,1000.0,4.0,0.3416529134668704,8.35989227458263
80.0,90.0,1.5,980.0,2.0,0.18745883363970295,16.66622674360252
80.0,103.0,2.0,1000.0,9.0,2.0627823027176726,3.4536683944091946
80.0,90.0,1.5,980.0,3.0,0.2499451115196039,11.240927056952827
80.0,93.0,1.5,980.0,2.0,0.24799700991511292,16.37557022508542
80.0,90.0,1.5,980.0,4.0,0.3124313893995049,8.480348324094212
